IndID;Indicator;EcosystemComponent;EcosystemComponentID;D1C1;D1C2;D1C3;D1C4;D1C5;D1C6;D4C1;D4C2;D4C3;D4C4;D6C4;D6C5
36;Number of drowned mammals and waterbirds in fishing gear - Pied Avocet ;Pied Avocet ;33;1;;;;;;;;;;;
37;Number of drowned mammals and waterbirds in fishing gear - Common Ringed Plover;Common Ringed Plover;30;1;;;;;;;;;;;
38;Number of drowned mammals and waterbirds in fishing gear - Ruddy Turnstone;Ruddy Turnstone;34;1;;;;;;;;;;;
39;Number of drowned mammals and waterbirds in fishing gear - Dunlin;Dunlin;31;1;;;;;;;;;;;
40;Number of drowned mammals and waterbirds in fishing gear - Arctic Skua;Arctic Skua;35;1;;;;;;;;;;;
41;Number of drowned mammals and waterbirds in fishing gear - Black Guillemot ;Black Guillemot ;50;1;;;;;;;;;;;
42;Number of drowned mammals and waterbirds in fishing gear - Common Gull;Common Gull;41;1;;;;;;;;;;;
43;Number of drowned mammals and waterbirds in fishing gear - Great Black-backed Gull ;Great Black-backed Gull ;44;1;;;;;;;;;;;
44;Number of drowned mammals and waterbirds in fishing gear - Herring Gull ;Herring Gull ;42;1;;;;;;;;;;;
45;Number of drowned mammals and waterbirds in fishing gear - Lesser Black-backed Gull ;Lesser Black-backed Gull ;43;1;;;;;;;;;;;
46;Number of drowned mammals and waterbirds in fishing gear - Little Tern ;Little Tern ;38;1;;;;;;;;;;;
47;Number of drowned mammals and waterbirds in fishing gear - Common Tern ;Common Tern ;37;1;;;;;;;;;;;
48;Number of drowned mammals and waterbirds in fishing gear - Arctic Tern;Arctic Tern;36;1;;;;;;;;;;;
49;Number of drowned mammals and waterbirds in fishing gear - Mute Swan;Mute Swan;29;1;;;;;;;;;;;
50;Number of drowned mammals and waterbirds in fishing gear - Common Pochard;Common Pochard;55;1;;;;;;;;;;;
51;Number of drowned mammals and waterbirds in fishing gear - Tufted Duck;Tufted Duck;58;1;;;;;;;;;;;
52;Number of drowned mammals and waterbirds in fishing gear - Greater Scaup;Greater Scaup;56;1;;;;;;;;;;;
53;Number of drowned mammals and waterbirds in fishing gear - Steller's eider;Steller's eider;57;1;;;;;;;;;;;
54;Number of drowned mammals and waterbirds in fishing gear - Common Goldeneye;Common Goldeneye;54;1;;;;;;;;;;;
55;Number of drowned mammals and waterbirds in fishing gear - Smew;Smew;49;1;;;;;;;;;;;
56;Number of drowned mammals and waterbirds in fishing gear - Goosander;Goosander;48;1;;;;;;;;;;;
57;Number of drowned mammals and waterbirds in fishing gear - Red-breasted Merganser;Red-breasted Merganser;47;1;;;;;;;;;;;
58;Number of drowned mammals and waterbirds in fishing gear - Great Crested Grebe;Great Crested Grebe;46;1;;;;;;;;;;;
59;Abundance of coastal fish key functional groups - Piscivores;Piscivores;67;;1;;;;;;;;;;
60;Abundance of coastal fish key functional groups - Cyprinids;Cyprinids;68;;1;;;;;;;;;;
61;Abundance of coastal fish key functional groups - Salmon;Salmon;69;;1;;;;;;;;;;
62;Abundance of coastal fish key functional groups - Sea trout;Sea trout;66;;1;;;;;;;;;;
63;Abundance of coastal fish key functional groups - Perch;Perch;64;;1;;;;;;;;;;
64;Abundance of coastal fish key functional groups - Flounder ;Flounder;75;;1;;;;;;;;;;
65;Abundance of coastal fish key functional groups - Cod;Cod;72;;1;;;;;;;;;;
66;Abundance of key coastal fish species - Perch;Perch;64;;1;;;;;;;;;;
67;Abundance of key coastal fish species - Flounder;Flounder;75;;1;;;;;;;;;;
68;Abundance of key coastal fish species - Cod;Cod;72;;1;;;;;;;;;;
